domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.13692528735632184,0.29750469744585983,0.06824712643678162,0.1851416460042554,58.0
www.tagesspiegel.de,-0.2081730769230769,0.3245691177230008,0.12980769230769232,0.2561268465789198,26.0
www.zeit.de,-0.06447368421052632,0.2907504406074912,0.0,0.0,19.0
www.bild.de,-0.17628205128205127,0.3564200561279575,0.02564102564102564,0.07123753452209253,13.0
www.n-tv.de,-0.06742424242424243,0.3331083521054737,0.08207070707070707,0.10327480149590197,11.0
www.faz.net,-0.04772727272727273,0.37096141812508443,0.14393939393939392,0.26376259604179486,11.0
www.diepresse.com,0.1307407407407407,0.5406189297097298,0.1111111111111111,0.22047927592204924,9.0
slashdot.org,-0.55,0.49856938190329,0.125,0.3535533905932738,8.0
orf.at,0.038095238095238106,0.22146697055682826,0.0,0.0,7.0
www.sueddeutsche.de,0.0023809523809523803,0.131824297846207,0.023809523809523808,0.06299407883487121,7.0
www.cbc.ca,-0.23809523809523808,0.2608238879571818,0.17857142857142858,0.25652851363323786,7.0
www.bbc.com,0.0,0.0,0.07142857142857142,0.18898223650461363,7.0
www.tagesschau.de,-0.09722222222222221,0.21250272329409664,0.09722222222222221,0.1529039882724765,6.0
www.nzz.ch,0.039999999999999994,0.39486284538642863,0.2,0.2173067468400883,5.0
www.dw.com,-0.32,0.432434966208793,0.06666666666666667,0.14907119849998596,5.0
abcnews.go.com,0.012499999999999983,0.7330018190063833,0.0,0.0,4.0
taz.de,-0.09999999999999998,0.36691910502129704,0.08333333333333333,0.16666666666666666,4.0
www.yahoo.com,-0.30625,0.581081964958473,0.0625,0.125,4.0
www.aljazeera.com,-0.50625,0.13287682265918313,0.0625,0.125,4.0
biztoc.com,-0.10833333333333332,0.15723301886761004,0.075,0.15000000000000002,4.0
www.morgenpost.de,0.2125,0.5121441854269817,0.0,0.0,4.0
www.insurancejournal.com,0.0,0.0,0.16666666666666666,0.2886751345948129,3.0
www.jungewelt.de,-0.47500000000000003,0.5018714974971183,0.0,0.0,3.0
tirol.orf.at,0.07222222222222223,0.417110874326577,0.0,0.0,3.0
science.orf.at,0.061111111111111095,0.29829763908130663,0.18333333333333335,0.169148192751537,3.0
www.welt.de,-0.3055555555555555,0.3852608543907957,0.0,0.0,3.0
pypi.org,0.0,0.0,0.0,0.0,3.0
www.scientificamerican.com,0.07500000000000001,0.10606601717798214,0.0,0.0,2.0
grist.org,-0.24166666666666664,0.011785113019775818,0.125,0.1767766952966369,2.0
www.npr.org,0.11666666666666665,0.4006938426723769,0.16666666666666666,0.0,2.0
www.naturalnews.com,0.06999999999999999,0.09899494936611665,0.16666666666666666,0.23570226039551584,2.0
economictimes.indiatimes.com,-0.18333333333333332,0.09428090415820634,0.08333333333333333,0.11785113019775792,2.0
nypost.com,-0.2125,0.30052038200428266,0.0,0.0,2.0
www.freitag.de,0.17083333333333334,0.005892556509887885,0.125,0.1767766952966369,2.0
www.focus.de,-0.11666666666666665,0.1649915822768611,0.5,0.7071067811865476,2.0
www.globenewswire.com,-0.08125,0.11490485194281398,0.0,0.0,2.0
news.sky.com,-0.35,0.49497474683058323,0.0,0.0,2.0
www.bostonherald.com,0.0,0.0,0.0,0.0,2.0
kaernten.orf.at,-0.2833333333333333,0.07071067811865475,0.0,0.0,2.0
salzburg.orf.at,0.0,1.0,0.0,1.0,1.0
www.pajiba.com,0.0,1.0,0.0,1.0,1.0
www.palmbeachpost.com,0.0,1.0,0.0,1.0,1.0
www.rte.ie,0.0,1.0,0.0,1.0,1.0
www.sciencealert.com,0.0,1.0,0.0,1.0,1.0
timesofindia.indiatimes.com,0.0,1.0,0.0,1.0,1.0
www.space.com,0.0,1.0,0.0,1.0,1.0
www.spektrum.de,0.0,1.0,0.0,1.0,1.0
noe.orf.at,0.0,1.0,0.0,1.0,1.0
dailycaller.com,0.0,1.0,0.0,1.0,1.0
bringatrailer.com,0.0,1.0,0.0,1.0,1.0
www.brigitte.de,0.0,1.0,0.0,1.0,1.0
english.khabarhub.com,0.0,1.0,0.0,1.0,1.0
www.technologyreview.com,0.0,1.0,0.0,1.0,1.0
www.theblaze.com,0.0,1.0,0.0,1.0,1.0
www.tmz.com,0.0,1.0,0.0,1.0,1.0
www.today.com,0.0,1.0,0.0,1.0,1.0
www.vox.com,0.0,1.0,0.0,1.0,1.0
rollingout.com,0.0,1.0,0.0,1.0,1.0
www.wftv.com,0.0,1.0,0.0,1.0,1.0
www.wonkette.com,0.0,1.0,0.0,1.0,1.0
phys.org,0.0,1.0,0.0,1.0,1.0
www.ozarksfirst.com,0.0,1.0,0.0,1.0,1.0
www.ndr.de,0.0,1.0,0.0,1.0,1.0
travelhost.com,0.0,1.0,0.0,1.0,1.0
www.activistpost.com,0.0,1.0,0.0,1.0,1.0
www.cbsnews.com,0.0,1.0,0.0,1.0,1.0
www.channelnewsasia.com,0.0,1.0,0.0,1.0,1.0
